2019-03-22 12:51:04.371 [main] WARN  com.secondhand.tradingplatformgeccocontroller.engine.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 16:41:03.192 [Tcom.secondhand.tradingplatformgeccocontroller.csdn0] WARN  org.apache.http.client.protocol.ResponseProcessCookies - Invalid cookie header: "Set-Cookie: uuid_tt_dd=10_30858483290-1553244071465-699021; Expires=Thu, 01 Jan 2025 00:00:00 GMT; Path=/; Domain=.csdn.net;". Invalid 'expires' attribute: Thu, 01 Jan 2025 00:00:00 GMT
2019-03-22 16:41:03.192 [Tcom.secondhand.tradingplatformgeccocontroller.csdn0] WARN  org.apache.http.client.protocol.ResponseProcessCookies - Invalid cookie header: "Set-Cookie: dc_session_id=10_1553244071465.651271; Expires=Thu, 01 Jan 2025 00:00:00 GMT; Path=/; Domain=.csdn.net;". Invalid 'expires' attribute: Thu, 01 Jan 2025 00:00:00 GMT
2019-03-22 16:42:30.862 [Tcom.secondhand.tradingplatformgeccocontroller.csdn0] WARN  org.apache.http.client.protocol.ResponseProcessCookies - Invalid cookie header: "Set-Cookie: uuid_tt_dd=10_30858483290-1553244159100-939946; Expires=Thu, 01 Jan 2025 00:00:00 GMT; Path=/; Domain=.csdn.net;". Invalid 'expires' attribute: Thu, 01 Jan 2025 00:00:00 GMT
2019-03-22 16:42:30.862 [Tcom.secondhand.tradingplatformgeccocontroller.csdn0] WARN  org.apache.http.client.protocol.ResponseProcessCookies - Invalid cookie header: "Set-Cookie: dc_session_id=10_1553244159100.587263; Expires=Thu, 01 Jan 2025 00:00:00 GMT; Path=/; Domain=.csdn.net;". Invalid 'expires' attribute: Thu, 01 Jan 2025 00:00:00 GMT
2019-03-22 16:43:58.323 [Tcom.secondhand.tradingplatformgeccocontroller.csdn0] WARN  org.apache.http.client.protocol.ResponseProcessCookies - Invalid cookie header: "Set-Cookie: uuid_tt_dd=10_30858483290-1553244246599-449368; Expires=Thu, 01 Jan 2025 00:00:00 GMT; Path=/; Domain=.csdn.net;". Invalid 'expires' attribute: Thu, 01 Jan 2025 00:00:00 GMT
2019-03-22 16:43:58.323 [Tcom.secondhand.tradingplatformgeccocontroller.csdn0] WARN  org.apache.http.client.protocol.ResponseProcessCookies - Invalid cookie header: "Set-Cookie: dc_session_id=10_1553244246599.351894; Expires=Thu, 01 Jan 2025 00:00:00 GMT; Path=/; Domain=.csdn.net;". Invalid 'expires' attribute: Thu, 01 Jan 2025 00:00:00 GMT
2019-03-22 20:27:15.108 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:27:21.281 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:31:48.821 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:31:52.018 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:32:46.003 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:32:50.598 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:42:37.537 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:42:49.341 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:46:37.527 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:46:47.553 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:53:47.543 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
2019-03-22 20:54:01.350 [main] WARN  com.secondhand.tradingplatformgeccocontroller.spider.SpiderBeanFactory - there are multil 'https://item.jd.com/{code}.html' ,first htmlBean will be Override。
